Task #,Website Domain,Link Type,Est. Authority,Authority Tier,Tier,Target Page URL,Primary Anchor Text,Anchor Type to Use,Alternate Anchor 1,Alternate Anchor 2,Assigned To,Contact Method,Outreach Date,Follow-up 1,Follow-up 2,Status,Live Link URL,Verification Date,dofollow/nofollow,DR Confirmed,Screenshot Taken,Notes
24,urbansplatter.com,Guest Post Placement,DR 51,Tier B,Tier 2,https://rapidautoshipping.com/state-to-state/new-york-to-florida,cross-country car shipping,Partial Match,Rapid Auto Shipping,learn more,Person A,contact@urbansplatter.com,,,,Not Started,,,,,,Real estate/lifestyle. Coordinate placement.
25,motorcraz.com,Guest Post Placement,DR 41,Tier B,Tier 2,https://rapidautoshipping.com/state-to-state/georgia-to-texas,Rapid Auto Shipping,Brand,Georgia to Texas auto transport,get a quote,Person A,contact@motorcraz.com,,,,Not Started,,,,,,"Auto dealerships. Negotiate, content team writes."
26,ioscm.com,Guest Post Placement,DR 56,Tier B,Tier 1,https://rapidautoshipping.com/,Rapid Auto Shipping,Brand,auto transport logistics provider,learn more,Person A,kimberley.jayne@ioscm.com,,,,Not Started,,,,,,Supply Chain Management institute. Publication placement.
27,crestnetwork.com,Guest Post Placement,DR 51,Tier B,Tier 2,https://rapidautoshipping.com/state-to-state/texas-to-california,TX to CA car shipping,Partial Match,Rapid Auto Shipping,ship car Texas to California,Person A,Site form,,,,Not Started,,,,,,"200,000+ real estate pros. Coordinate placement."
28,fastexpert.com,Guest Post Placement,DR 56,Tier B,Tier 2,https://rapidautoshipping.com/state-to-state/new-york-to-florida,car shipping for relocating families,Partial Match,Rapid Auto Shipping,learn more,Person A,Site form,,,,Not Started,,,,,,50K+ real estate agents. Coordinate placement.
29,carshippinghawaii.com,Guest Post Placement,DR 41,Tier B,Tier 3,https://rapidautoshipping.com/services/car-shipping-calculator,car shipping cost,Partial Match,Rapid Auto Shipping,calculate your shipping cost,Person A,jerwin@clickleadclose.com,,,,Not Started,,,,,,Directly car shipping niche. Secure slot.
30,helpareporter.com,Media Mention,DR 86,Tier A,Tier 1,varies by query,Rapid Auto Shipping,Brand,expert source link,rapidautoshipping.com,Person A,Sign up + monitor daily,,,,Not Started,,,,,,HARO. Respond to transport/moving/relocation queries.
31,qwoted.com,Media Mention,DR 71,Tier A,Tier 1,varies by query,Rapid Auto Shipping,Brand,expert source link,car shipping expert,Person A,Platform signup,,,,Not Started,,,,,,Journalist-source matching. Free 3/mo or $149.99/mo.
32,prnewswire.com,Media Mention,DR 91,Tier A,Tier 1,https://rapidautoshipping.com/,Rapid Auto Shipping,Brand,rapidautoshipping.com,leading auto transport company,Person A,Press release distribution,,,,Not Started,,,,,,Distribute data reports + company news.
33,einpresswire.com,Media Mention,DR 81,Tier A,Tier 2,https://rapidautoshipping.com/,Rapid Auto Shipping,Brand,rapidautoshipping.com,auto transport provider,Person A,Press release submission,,,,Not Started,,,,,,Budget-friendly press release distribution.
34,pods.com,Resource Page,DR 76,Tier A,Tier 1,https://rapidautoshipping.com/,auto transport service,Partial Match,Rapid Auto Shipping,learn more,Person B,Corporate partnerships,,,,Not Started,,,,,,Vehicle transport resource center.
35,relocationresources.org,Resource Page,DR 46,Tier B,Tier 1,https://rapidautoshipping.com/state-to-state/california-to-michigan,Rapid Auto Shipping,Brand,CA to MI car shipping,visit site,Person B,Site contact,,,,Not Started,,,,,,Official Relocation Guide. Resource directory.
36,wmcmovers.com,Resource Page,DR 46,Tier B,Tier 3,https://rapidautoshipping.com/,Rapid Auto Shipping,Brand,auto transport services,here,Person B,Association contact,,,,Not Started,,,,,,Washington Movers Conference. 'Useful Links' section.
37,pcsgrades.com,Resource Page,DR 51,Tier B,Tier 2,https://rapidautoshipping.com/state-to-state/georgia-to-texas,GA to TX car shipping,Partial Match,Rapid Auto Shipping,military auto transport,Person B,Sponsored content inquiry,,,,Not Started,,,,,,Military PCS relocation. Accepts sponsored placements.
38,shipacardirect.com,Resource Page,DR 51,Tier B,Tier 3,https://rapidautoshipping.com/state-to-state,state to state auto transport,Exact Match,Rapid Auto Shipping,learn more,Person B,Site contact form,,,,Not Started,,,,,,Dedicated car shipping resources page.
39,colonialvanlines.com,Resource Page,DR 58,Tier B,Tier 1,https://rapidautoshipping.com/austin-to-seattle-auto-transport,Rapid Auto Shipping,Brand,long distance auto transport,get a quote,Person B,Blog team via site,,,,Not Started,,,,,,'Auto Transport Guide' article.
40,parkslopeparents.com,Resource Page,DR 52,Tier B,Tier 2,https://rapidautoshipping.com/state-to-state/new-york-to-florida,Rapid Auto Shipping,Brand,New York auto transport,click here,Person B,Site contact,,,,Not Started,,,,,,Moving Resources page with links.
41,transportreviews.com,Directory,DR 62,Tier A,Tier 1,https://rapidautoshipping.com/,Rapid Auto Shipping,Brand,rapidautoshipping.com,auto transport company,Person B,Company profile submission,,,,Not Started,,,,,,"CRITICAL. AmeriFreight has 29,306 reviews. Claim profile."
42,consumeraffairs.com,Directory,DR 86,Tier A,Tier 1,https://rapidautoshipping.com/,Rapid Auto Shipping,Brand,rapidautoshipping.com,car shipping company,Person B,Accredited business application,,,,Not Started,,,,,,All 4 competitors have profiles. Apply immediately.
43,bbb.org,Directory,DR 93,Tier A,Tier 1,https://rapidautoshipping.com/,Rapid Auto Shipping,Brand,rapidautoshipping.com,auto transport service,Person B,bbb.org/get-accredited,,,,Not Started,,,,,,A+ rating. All competitors listed.
44,a1autotransport.com,Directory,DR 56,Tier B,Tier 1,https://rapidautoshipping.com/,Rapid Auto Shipping,Brand,rapidautoshipping.com,car shipping provider,Person B,Directory submission,,,,Not Started,,,,,,30+ year industry directory.
45,movecars.com,Directory,DR 46,Tier B,Tier 2,https://rapidautoshipping.com/,Rapid Auto Shipping,Brand,rapidautoshipping.com,auto transport,Person B,Site submission,,,,Not Started,,,,,,#1 car moving directory.
46,automotive-fleet.com,Directory,DR 61,Tier A,Tier 2,https://rapidautoshipping.com/,Rapid Auto Shipping,Brand,rapidautoshipping.com,fleet auto transport,Person B,Fleet directory submission,,,,Not Started,,,,,,B2B fleet transport publication.
47,dnb.com,Directory,DR 93,Tier A,Tier 3,https://rapidautoshipping.com/,Rapid Auto Shipping,Brand,rapidautoshipping.com,auto transport company,Person B,Listing submission,,,,Not Started,,,,,,Dun & Bradstreet. Business credibility.
48,ttnews.com,Directory,DR 71,Tier A,Tier 3,https://rapidautoshipping.com/,Rapid Auto Shipping,Brand,rapidautoshipping.com,transport logistics,Person B,Freight directory submission,,,,Not Started,,,,,,Transport Topics. Major industry publication.
49,feedspot.com,Directory,DR 76,Tier A,Tier 3,https://rapidautoshipping.com/,Rapid Auto Shipping,Brand,rapidautoshipping.com,auto shipping blog,Person B,Blog submission form,,,,Not Started,,,,,,Top auto shipping blogs directory.
