Assigned To,Role,Task #,Domain,Link Type,Tier,Target Page,Anchor Text,Priority,Start Week
Person A,Niche Edits + Guest Post Placement + Media,26,ioscm.com,Guest Post Placement,Tier 1,https://rapidautoshipping.com/,Rapid Auto Shipping,HIGH,Week 1
Person A,Niche Edits + Guest Post Placement + Media,30,helpareporter.com,Media Mention,Tier 1,varies,expert source link,CRITICAL,Week 1
Person A,Niche Edits + Guest Post Placement + Media,31,qwoted.com,Media Mention,Tier 1,varies,expert source link,HIGH,Week 1
Person A,Niche Edits + Guest Post Placement + Media,32,prnewswire.com,Media Mention,Tier 1,https://rapidautoshipping.com/,Rapid Auto Shipping,CRITICAL,Week 1
Person A,Niche Edits + Guest Post Placement + Media,8,retirementliving.com,Niche Edit,Tier 2,https://rapidautoshipping.com/state-to-state/new-york-to-florida,New York to Florida car shipping,MEDIUM,Week 2
Person A,Niche Edits + Guest Post Placement + Media,12,arcrelocation.com,Niche Edit,Tier 2,https://rapidautoshipping.com/state-to-state/texas-to-california,Texas to California auto transport,MEDIUM,Week 2
Person A,Niche Edits + Guest Post Placement + Media,14,extraspace.com,Niche Edit,Tier 2,https://rapidautoshipping.com/state-to-state/california-to-florida,ship car across country,MEDIUM,Week 2
Person A,Niche Edits + Guest Post Placement + Media,20,fccr.co,Guest Post Placement,Tier 2,https://rapidautoshipping.com/state-to-state/arizona-to-new-jersey,AZ to NJ car shipping,MEDIUM,Week 2
Person A,Niche Edits + Guest Post Placement + Media,23,tornadodave.com,Guest Post Placement,Tier 2,https://rapidautoshipping.com/state-to-state/california-to-florida,California to Florida car shipping,MEDIUM,Week 2
Person A,Niche Edits + Guest Post Placement + Media,24,urbansplatter.com,Guest Post Placement,Tier 2,https://rapidautoshipping.com/state-to-state/new-york-to-florida,cross-country car shipping,MEDIUM,Week 2
Person A,Niche Edits + Guest Post Placement + Media,25,motorcraz.com,Guest Post Placement,Tier 2,https://rapidautoshipping.com/state-to-state/georgia-to-texas,Georgia to Texas auto transport,MEDIUM,Week 2
Person A,Niche Edits + Guest Post Placement + Media,27,crestnetwork.com,Guest Post Placement,Tier 2,https://rapidautoshipping.com/state-to-state/texas-to-california,TX to CA car shipping,MEDIUM,Week 2
Person A,Niche Edits + Guest Post Placement + Media,28,fastexpert.com,Guest Post Placement,Tier 2,https://rapidautoshipping.com/state-to-state/new-york-to-florida,car shipping for relocating families,MEDIUM,Week 2
Person A,Niche Edits + Guest Post Placement + Media,33,einpresswire.com,Media Mention,Tier 2,https://rapidautoshipping.com/,Rapid Auto Shipping,MEDIUM,Week 2
Person A,Niche Edits + Guest Post Placement + Media,15,consumeraffairs.com,Niche Edit,Tier 3,https://rapidautoshipping.com/non-running-vehicle-transport,non-running car shipping,CRITICAL,Week 1
Person A,Niche Edits + Guest Post Placement + Media,19,truckin247.com,Guest Post Placement,Tier 3,https://rapidautoshipping.com/non-running-vehicle-transport,non-running vehicle transport,STANDARD,Week 3
Person A,Niche Edits + Guest Post Placement + Media,29,carshippinghawaii.com,Guest Post Placement,Tier 3,https://rapidautoshipping.com/services/car-shipping-calculator,car shipping cost,STANDARD,Week 3
Person B,Resource Pages + Directories + Competitor Replication,34,pods.com,Resource Page,Tier 1,https://rapidautoshipping.com/,auto transport service,HIGH,Week 1
Person B,Resource Pages + Directories + Competitor Replication,35,relocationresources.org,Resource Page,Tier 1,https://rapidautoshipping.com/state-to-state/california-to-michigan,CA to MI car shipping,HIGH,Week 1
Person B,Resource Pages + Directories + Competitor Replication,39,colonialvanlines.com,Resource Page,Tier 1,https://rapidautoshipping.com/austin-to-seattle-auto-transport,long distance auto transport,HIGH,Week 1
Person B,Resource Pages + Directories + Competitor Replication,41,transportreviews.com,Directory,Tier 1,https://rapidautoshipping.com/,Rapid Auto Shipping,CRITICAL,Week 1
Person B,Resource Pages + Directories + Competitor Replication,42,consumeraffairs.com,Directory,Tier 1,https://rapidautoshipping.com/,Rapid Auto Shipping,CRITICAL,Week 1
Person B,Resource Pages + Directories + Competitor Replication,43,bbb.org,Directory,Tier 1,https://rapidautoshipping.com/,Rapid Auto Shipping,CRITICAL,Week 1
Person B,Resource Pages + Directories + Competitor Replication,44,a1autotransport.com,Directory,Tier 1,https://rapidautoshipping.com/,Rapid Auto Shipping,HIGH,Week 1
Person B,Resource Pages + Directories + Competitor Replication,37,pcsgrades.com,Resource Page,Tier 2,https://rapidautoshipping.com/state-to-state/georgia-to-texas,GA to TX car shipping,MEDIUM,Week 2
Person B,Resource Pages + Directories + Competitor Replication,40,parkslopeparents.com,Resource Page,Tier 2,https://rapidautoshipping.com/state-to-state/new-york-to-florida,New York auto transport,MEDIUM,Week 2
Person B,Resource Pages + Directories + Competitor Replication,45,movecars.com,Directory,Tier 2,https://rapidautoshipping.com/,Rapid Auto Shipping,MEDIUM,Week 2
Person B,Resource Pages + Directories + Competitor Replication,46,automotive-fleet.com,Directory,Tier 2,https://rapidautoshipping.com/,Rapid Auto Shipping,MEDIUM,Week 2
Person B,Resource Pages + Directories + Competitor Replication,36,wmcmovers.com,Resource Page,Tier 3,https://rapidautoshipping.com/,Rapid Auto Shipping,STANDARD,Week 3
Person B,Resource Pages + Directories + Competitor Replication,38,shipacardirect.com,Resource Page,Tier 3,https://rapidautoshipping.com/state-to-state,state to state auto transport,STANDARD,Week 3
Person B,Resource Pages + Directories + Competitor Replication,47,dnb.com,Directory,Tier 3,https://rapidautoshipping.com/,Rapid Auto Shipping,STANDARD,Week 3
Person B,Resource Pages + Directories + Competitor Replication,48,ttnews.com,Directory,Tier 3,https://rapidautoshipping.com/,Rapid Auto Shipping,STANDARD,Week 3
Person B,Resource Pages + Directories + Competitor Replication,49,feedspot.com,Directory,Tier 3,https://rapidautoshipping.com/,Rapid Auto Shipping,STANDARD,Week 3
