Day,Time Block,Task Type,Task Description,Target Page
Wednesday,1:00-1:30,Outreach Email #4,Pitch crestnetwork.com — Topic: 'Auto Transport Tips for Real Estate Agents',https://rapidautoshipping.com/state-to-state/california-to-michigan
Wednesday,1:30-2:00,Outreach Email #5,Pitch new prospect from today's search,varies
Wednesday,2:00-4:00,Content Task,WRITE PR data report: 'America's Car Migration Map: Top 10 Auto Shipping Routes of 2026'. Include stats from GSC data. Press release format.,/ + route pages
Wednesday,4:00-4:30,Follow-up #1-3,Follow up on Mon/Tue unanswered pitches,All
Wednesday,4:30-5:00,Admin,Update tracking sheet. Queue Thursday prospects.,
Thursday,9:00-10:00,Prospect,"Search 10 sites: automotive publications, car enthusiast blogs, consumer advice sites that cover car shipping",All
Thursday,10:00-10:40,Media Pitch #1,HARO — Respond to any relevant auto/moving/transport queries,varies
Thursday,10:40-11:20,Media Pitch #2,Pitch FreightWaves — Data story: 'CA-MI route volume trend',https://rapidautoshipping.com/state-to-state/california-to-michigan
Thursday,11:20-12:00,Outreach Email #3,Pitch new guest post prospect from today's search,varies
Thursday,12:00-1:00,LUNCH,,
Thursday,1:00-1:30,Outreach Email #4,Pitch new guest post prospect,varies
Thursday,1:30-2:00,Outreach Email #5,Pitch new guest post prospect,varies
Thursday,2:00-4:00,Content Task,"OUTLINE + DRAFT article: 'The Hidden Costs of Driving vs. Shipping Your Car Long Distance' (1,300 words). Link to /austin-to-seattle-auto-transport",https://rapidautoshipping.com/austin-to-seattle-auto-transport
Thursday,4:00-4:30,Follow-up #1-3,Follow up on all week's unanswered pitches,All
Thursday,4:30-5:00,Admin,Update tracking sheet. Queue Friday prospects.,
Friday,9:00-10:00,Prospect,"Search 10 sites: finance blogs (shipping costs), lifestyle sites (relocation), military relocation sites",All
Friday,10:00-10:40,Outreach Email #1,Pitch new high-DA prospect (finance/consumer angle),https://rapidautoshipping.com/state-to-state/california-to-michigan
Friday,10:40-11:20,Outreach Email #2,Pitch new prospect (military relocation angle),https://rapidautoshipping.com/military-auto-shipping
Friday,11:20-12:00,Outreach Email #3,Re-pitch modified topic to any rejected site from this week,varies
Friday,12:00-1:00,LUNCH,,
Friday,1:00-1:30,Outreach Email #4,Pitch PR Newswire or EINPresswire with weekly data report,https://rapidautoshipping.com/
Friday,1:30-2:00,Outreach Email #5,Pitch Qwoted profile setup + first expert response,varies
Friday,2:00-4:00,Content Task,FINALIZE + EDIT all drafted articles from this week. Submit any that are ready to accepted sites.,All
Friday,4:00-4:30,Follow-up #1-3,Final follow-ups for the week,All
Friday,4:30-5:00,Weekly Review,"Compile weekly metrics: pitches sent, responses, acceptances, links live. Plan next week's targets.",
